,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
11_01_52,1.6067781173259492,2.2228790236985496,3.065000781537225,3.0744280851257413,1.8466739654541016,48.59139537811279
11_11_10,1.929706376187568,1.7098512640868002,3.1556708578620367,2.2925432461098856,1.2645628213882447,30.561628103256226
11_14_46,1.222892289106501,2.1678894841821363,2.859240998288432,2.6063560240566312,1.1245705604553222,37.42017722129822
11_16_17,1.282238031055838,1.7407368798890757,4.040005136449539,3.1422782107060794,1.254062008857727,10.863638639450073
11_18_33,1.7502821079624173,2.051443880370059,6.827924207688575,4.522392022231026,1.2582835912704469,16.641039609909058
11_22_06,1.3819701885760427,1.9340891158379914,2.7473493263430404,2.3230356028739387,1.1304258108139038,47.85692524909973
11_23_54,0.9287514869901735,1.7697556209678165,3.56312657814151,3.6131165866730015,1.2097569465637208,8.931873321533203
11_28_47,2.282382135329773,2.0553398467145487,2.897749501756732,2.4210013551606866,1.0912480115890504,24.87771463394165
11_33_37,1.0855014572932653,1.5668521554041732,2.9111119413304665,2.129474506006213,1.2032727241516112,47.762529373168945
11_36_27,1.0319344108872592,1.7117890681231007,4.4803838088425145,4.431954566767154,1.8377504825592041,27.063950777053833
