,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
11_19_11,1.1633547512731919,0.7716498593947332,2.2276175961033298,0.7976924173738729,3.125599765777588,39.58092784881592
11_20_33,1.117726847794739,1.0683379456173694,1.8071067058207615,1.1489066606202825,2.8774935960769654,80.60518097877502
11_21_25,0.9361670735293977,1.1043817794612705,0.9838171387407405,1.1221401859162219,2.6475661516189577,34.63330554962158
11_22_14,0.9400254818906897,1.0681438812474304,1.218401309908364,1.0937317748516842,2.407744312286377,60.00241541862488
11_23_05,0.9416702537895978,1.0172601175737368,1.3590958306259657,1.051513440762415,2.3911988496780396,49.318928241729736
11_26_46,0.9436246020811302,1.09928588246606,1.1002635810332575,1.0795884931667488,2.3524426460266112,53.626603841781616
11_27_45,0.9383721624117616,1.0579392746119225,0.987543539022803,1.0671068014153804,2.4941855907440185,28.876198768615723
11_28_48,0.9408583442649932,1.0732730875050076,1.069240164780453,1.0751880444265782,2.3398333311080934,46.510008811950684
11_29_40,0.9388988883828715,1.1099647064051315,0.9798170239650541,1.1104078718237567,2.6081175804138184,37.567638635635376
11_30_40,0.9384836234199847,1.1126778045881642,1.7611557305512466,1.1276324514532394,2.3108219623565676,31.591639280319214
11_31_43,0.937879720212116,1.1712764454788989,0.9693981813654157,1.1649835861451514,2.5065221548080445,37.512932777404785
11_32_35,0.9388562894669105,1.0882762382415772,1.2052632873529439,1.110996619845384,2.549147629737854,69.42895269393921
11_33_37,0.9543556591578755,1.0462686935453411,1.035773831390328,1.0357072912432945,2.4689845561981203,41.964778423309326
11_34_45,0.9240856237788775,1.0604367028925232,0.9697064280068853,1.0559101358118697,2.3631786108016968,29.912025928497314
11_35_42,0.9474311635430454,1.0914093314609168,0.9945611803746848,1.092427557399618,2.4515870094299315,37.75954484939575
11_37_36,0.9332095359399809,1.1054527666524,0.9537494534176624,1.1010506087011145,2.436576271057129,22.401414155960083
11_38_33,0.9422166938215122,1.0509340267137899,1.005035280436177,1.0450822888742524,2.4754824161529543,35.31699228286743
11_39_40,0.9611437603725249,1.0155496968470756,1.0107070608012683,1.0164953788821478,2.41569344997406,33.131633281707764
11_40_39,0.9276809079794822,1.036320143263045,0.9634589814014888,1.0350752279073012,2.4186206340789793,29.940247535705566
11_42_31,0.9423926343867671,1.033683541755098,0.9581461682070824,1.0347778969915564,2.4155165910720826,34.2785484790802
12_19_31,0.8397091286111357,1.62579220601419,0.9242690471722338,1.6444466298319593,2.3868682861328123,57.206384897232056
12_21_19,0.8177447968669268,1.139667476590445,0.8911533510538636,1.1424080481106451,2.349143385887146,36.23149347305298
12_22_06,0.8390391334445637,1.4016568357446255,0.8909055720920248,1.393419041292043,2.43810179233551,39.123467445373535
12_23_03,0.813197739961382,1.4231338225823207,0.8396533662936096,1.4049415589594227,2.494942784309387,37.01185846328735
12_27_40,1.4022136411757689,2.6620738520874023,1.992889646500093,2.6639625674013856,2.3435014724731444,37.66638398170471
12_29_24,9.568813286866044,8.670528824940586,13.153181724006378,8.409943023852982,2.345592498779297,33.326709270477295
12_34_37,0.7846626400831993,1.5385001325370602,1.292514139932256,1.620707461069774,2.427201676368713,65.32899212837219
12_35_39,0.7546873202783314,1.3747162338549983,0.807469244226707,1.3664537297929238,2.1147913694381715,27.26207733154297
12_36_35,0.7492099808862243,1.5886120387151854,0.7895412683854968,1.5841423048192211,2.445422887802124,61.30742526054382
