,Reproj.,Recon.,Tracked Reproj.,Tracked Recon.,Mean Frame Grab Time,Mean Calibration Time
15_56_22,2.042476005834244,2.5675214173548992,2.2637702569693734,2.5560054368158815,0.8051250219345093,8.685400247573853
15_57_13,1.575187826931164,2.5357562532427527,1.6579972430859509,2.5365678570641825,0.9215405702590942,9.242002248764038
15_58_14,1.4278227670195027,2.123032992543599,1.5205159983266716,2.121278741917126,0.9249178647994996,9.975245714187622
15_59_11,1.4140085667790177,1.8974037288077419,1.5480973493597863,1.9057551576222527,0.8715702295303345,10.816240787506104
15_59_52,1.55610302632824,2.09892213245114,1.718110715940026,2.0991738050520774,0.8721300840377808,6.49450945854187
16_00_38,1.6382787837403359,1.824857043662523,1.749303958379561,1.8267018895828304,0.8781752824783325,6.7318665981292725
16_01_30,1.5137643437694432,1.8601249437036238,1.6723392032869224,1.8611268331773856,0.8356354713439942,7.3519909381866455
16_02_35,1.5610032611746285,1.7027833119943134,1.6752454605853295,1.7077410580710557,0.8410314083099365,7.193887710571289
16_05_08,1.4319531544049073,1.6789932980437954,1.7167181411678212,1.7009808323807307,0.7853645086288452,9.050311088562012
16_05_51,1.5758977558867369,1.6669624119345936,1.766159448642975,1.6731364864138139,0.9005816459655762,9.61917495727539
16_06_39,1.400928450266954,1.2734279571974563,1.649646595694754,1.2911234141364172,0.734179162979126,7.727346420288086
16_07_34,1.386414791702129,1.4265730891372663,1.5027208511431396,1.432880865170033,0.8533498525619507,9.302133083343506
16_08_31,1.6291024778258558,1.3941331120720188,1.7739097439787996,1.4020373092687066,0.8357634544372559,8.123749494552612
16_10_31,1.5801267616291073,1.2911499497524201,1.681090272889454,1.3086385232958693,0.946815013885498,7.445854425430298
16_11_21,1.2057011686493029,1.3360826359758196,1.318981277546681,1.3500988647041077,0.9085725307464599,9.996792316436768
16_12_00,1.4983511222070869,1.3445648316655916,1.629092192598273,1.3524680712324761,0.8738671064376831,7.662481307983398
16_12_49,1.6684999619401812,1.27209025823465,1.7863142440382904,1.2937415669661347,0.7973388433456421,8.250272989273071
16_13_39,1.3840890510776784,1.1648094429235454,1.5679545558892827,1.1763583902645318,0.8115292072296143,9.172128915786743
16_20_03,1.4087396589600782,1.260172474817822,1.480383328965045,1.256926044596941,0.9482850551605224,12.091251373291016
